,disposition,period,time0bk,impact,duration,depth,ror,srho,prad,sma,incl,teq,insol,dor,ldm_coeff2,ldm_coeff1,count,tce_plnt_num,steff,slogg,smet,srad,smass,ra,dec,kepmag,hmag
9481,FALSE POSITIVE,4.600532392888658,5.598666754208271,0.019998666906609543,1.73593578850929,6.714172002712326,0.018711908030330956,3.7550823360902235,1.6209153224197654,0.28,89.99,588.0,4.0366740660765785,5.641210191902521,0.3103,0.2947,1,1.0,6477.0,4.361,-0.1,1.007624058602548,1.182,294.48926,46.140121,14.867,13.568
9482,FALSE POSITIVE,6.462555049247523,6.700070412645924,0.5237272764438171,2.666360104576545,6.264544086990013,0.015351397027398697,2.2306782149968356,1.2383354782289722,0.9225,89.89,274.0,1.0966106874411246,6.369903914885138,0.3058,0.3071,1,1.0,6146.0,4.497,-0.26,0.8404888222503548,1.02,295.90207,46.116138,13.996,12.636
9483,CANDIDATE,5.94562262294446,5.729530298129514,0.0908748705633959,1.9914966821583253,8.075271643104777,0.0359932278840791,4.334240234362655,1.976651651910783,0.634,89.99,286.0,1.2383354782289722,6.731019524485512,0.224,0.4695,1,1.0,5440.0,4.497,0.16,0.8096100450256065,0.931,293.6839,46.265541,16.652,14.726
9484,FALSE POSITIVE,6.57575587954667,5.707480033687858,0.15043198384920392,3.67744653321195,7.327123724515552,0.024904425506489348,0.39775837786132734,1.5501579568690622,0.9602,89.94,224.0,0.5688248987322475,5.638865417533469,0.2327,0.4526,1,1.0,5482.0,4.566,-0.02,0.7528423487227598,0.918,291.28595,46.920551,14.806,13.114
9485,FALSE POSITIVE,0.6201428737938868,5.573568001287324,0.024997396565482846,1.756586948994544,5.591000903142794,0.010651798571903308,0.2980476443830732,1.0905866100810677,0.0157,89.26,2385.0,9.629825410998492,1.4031099926898014,0.3029,0.3239,1,1.0,6353.0,4.397,-0.02,0.9730255693508396,1.174,298.15732,47.29166,14.784,13.502
9486,FALSE POSITIVE,3.357416037917592,5.641443657702831,0.005999964000583188,2.44122070725561,8.135053994509342,0.03596324729011719,0.6748153881168347,0.6362049697957392,0.0622,89.98,248.0,0.801415491253481,3.6855008683024297,0.4341,0.2646,1,1.0,3358.0,5.149,-0.6,0.17313374687297034,0.155,294.7959,46.521626,18.013,14.607
9487,FALSE POSITIVE,0.4857500053440169,5.5754389041224295,1.0056897457074185,1.1188687677595417,10.935888811408951,0.4171646717103541,1.074285968386289,5.152284070778553,0.0116,62.83,2997.0,10.55482892213259,1.6812273393954162,0.265,0.3975,1,1.0,5398.0,3.822,-0.64,1.371134727560559,0.821,282.509,46.634441,15.992,14.046
9488,FALSE POSITIVE,2.671577260899473,5.610507007203361,0.2668226669099409,1.292168935254962,4.615218532034635,0.0065819524758982595,3.1465004829004313,1.015973134179692,0.0802,89.51,1275.0,7.131747109862811,4.1487662029717205,0.3052,0.3236,1,1.0,6325.0,4.112,0.1,1.2885877589536632,1.325,289.91638,46.677559,13.118,11.667
9489,FALSE POSITIVE,1.0981584963126823,5.5762414345483045,0.32048552618821713,2.342963081823369,3.993021144067377,0.004799981568191099,0.08328368826308447,0.42691345412611653,0.0231,80.54,1553.0,7.921543020655609,1.4369070759714961,0.2787,0.3728,1,1.0,5852.0,4.559,-0.3,0.7613004096640044,0.928,294.85934,46.635689,13.454,12.001
9490,FALSE POSITIVE,1.0981387669966944,5.576477546365441,0.020998456806227195,1.8563361212271476,5.781986824615236,0.011643736895155965,0.39056449945934313,0.8310000911462472,0.0209,89.64,1427.0,7.581740287044409,1.9236746512579668,0.2665,0.398,1,1.0,5460.0,4.543,-0.72,0.6802980030419857,0.686,294.94775,46.671951,15.84,13.933
